estado,candidato,votos,cargo,ano,turno
Rondônia,Ciro Gomes PPS,39398,Presidente,1998,Turno 1
Acre,Ciro Gomes PPS,26909,Presidente,1998,Turno 1
Amazonas,Ciro Gomes PPS,128811,Presidente,1998,Turno 1
Roraima,Ciro Gomes PPS,20138,Presidente,1998,Turno 1
Pará,Ciro Gomes PPS,165670,Presidente,1998,Turno 1
Amapá,Ciro Gomes PPS,25349,Presidente,1998,Turno 1
Tocantins,Ciro Gomes PPS,47566,Presidente,1998,Turno 1
Maranhão,Ciro Gomes PPS,246268,Presidente,1998,Turno 1
Piauí,Ciro Gomes PPS,185997,Presidente,1998,Turno 1
Ceará,Ciro Gomes PPS,909402,Presidente,1998,Turno 1
R. G. do Norte,Ciro Gomes PPS,193496,Presidente,1998,Turno 1
Paraíba,Ciro Gomes PPS,191878,Presidente,1998,Turno 1
Pernambuco,Ciro Gomes PPS,212168,Presidente,1998,Turno 1
Alagoas,Ciro Gomes PPS,146729,Presidente,1998,Turno 1
Sergipe,Ciro Gomes PPS,71233,Presidente,1998,Turno 1
Bahia,Ciro Gomes PPS,327923,Presidente,1998,Turno 1
Minas Gerais,Ciro Gomes PPS,883377,Presidente,1998,Turno 1
Espírito Santo,Ciro Gomes PPS,134675,Presidente,1998,Turno 1
Rio de Janeiro,Ciro Gomes PPS,708279,Presidente,1998,Turno 1
São Paulo,Ciro Gomes PPS,1208718,Presidente,1998,Turno 1
Paraná,Ciro Gomes PPS,400966,Presidente,1998,Turno 1
Santa Catarina,Ciro Gomes PPS,252659,Presidente,1998,Turno 1
R. G. do Sul,Ciro Gomes PPS,277866,Presidente,1998,Turno 1
M. G. do Sul,Ciro Gomes PPS,89951,Presidente,1998,Turno 1
Mato Grosso,Ciro Gomes PPS,67668,Presidente,1998,Turno 1
Goiás,Ciro Gomes PPS,195851,Presidente,1998,Turno 1
Distrito Federal,Ciro Gomes PPS,265838,Presidente,1998,Turno 1
Rondônia,Ciro Gomes PPS PDT-PTB,60663,Presidente,2002,Turno 1
Acre,Ciro Gomes PPS PDT-PTB,43995,Presidente,2002,Turno 1
Amazonas,Ciro Gomes PPS PDT-PTB,160132,Presidente,2002,Turno 1
Roraima,Ciro Gomes PPS PDT-PTB,28063,Presidente,2002,Turno 1
Pará,Ciro Gomes PPS PDT-PTB,269687,Presidente,2002,Turno 1
Amapá,Ciro Gomes PPS PDT-PTB,34007,Presidente,2002,Turno 1
Tocantins,Ciro Gomes PPS PDT-PTB,46562,Presidente,2002,Turno 1
Maranhão,Ciro Gomes PPS PDT-PTB,455860,Presidente,2002,Turno 1
Piauí,Ciro Gomes PPS PDT-PTB,195854,Presidente,2002,Turno 1
Ceará,Ciro Gomes PPS PDT-PTB,1529623,Presidente,2002,Turno 1
R. G. do Norte,Ciro Gomes PPS PDT-PTB,218880,Presidente,2002,Turno 1
Paraíba,Ciro Gomes PPS PDT-PTB,138789,Presidente,2002,Turno 1
Pernambuco,Ciro Gomes PPS PDT-PTB,235145,Presidente,2002,Turno 1
Alagoas,Ciro Gomes PPS PDT-PTB,168925,Presidente,2002,Turno 1
Sergipe,Ciro Gomes PPS PDT-PTB,133887,Presidente,2002,Turno 1
Bahia,Ciro Gomes PPS PDT-PTB,738949,Presidente,2002,Turno 1
Minas Gerais,Ciro Gomes PPS PDT-PTB,862231,Presidente,2002,Turno 1
Espírito Santo,Ciro Gomes PPS PDT-PTB,114308,Presidente,2002,Turno 1
Rio de Janeiro,Ciro Gomes PPS PDT-PTB,657725,Presidente,2002,Turno 1
São Paulo,Ciro Gomes PPS PDT-PTB,2087617,Presidente,2002,Turno 1
Paraná,Ciro Gomes PPS PDT-PTB,409135,Presidente,2002,Turno 1
Santa Catarina,Ciro Gomes PPS PDT-PTB,217695,Presidente,2002,Turno 1
R. G. do Sul,Ciro Gomes PPS PDT-PTB,588560,Presidente,2002,Turno 1
M. G. do Sul,Ciro Gomes PPS PDT-PTB,145271,Presidente,2002,Turno 1
Mato Grosso,Ciro Gomes PPS PDT-PTB,181028,Presidente,2002,Turno 1
Goiás,Ciro Gomes PPS PDT-PTB,259088,Presidente,2002,Turno 1
Distrito Federal,Ciro Gomes PPS PDT-PTB,184558,Presidente,2002,Turno 1
